instal;maquina;comb;dtini_oper;din_des;din_iniapur
IVX245;IVX2451640;OD;01/01/2008;09/08/2022;01/01/2013
IVX244;IVX2441641;OD;01/01/2008;09/08/2022;01/01/2013
IVX343;IVX3431642;OD;01/01/2008;09/08/2022;01/01/2013
IVX231;IVX2311643;OL;08/02/2011;;08/02/2011
IVX231;IVX2311644;OL;08/02/2011;;08/02/2011
IVX204;IVX2041645;OD;13/07/2002;01/01/2005;
IVX204;IVX2041646;OD;13/07/2002;01/01/2005;
IVX204;IVX2041647;OD;13/07/2002;01/01/2005;
IVX291;IVX2911648;HD;17/02/2007;;17/02/2007
IVX291;IVX2911649;HD;03/02/2007;;03/02/2007
IVX290;IVX2901650;HD;01/05/2006;;01/05/2006
IVX290;IVX2901651;HD;02/02/2006;;02/02/2006
IVX290;IVX2901652;HD;01/11/2005;;01/11/2005
IVX78;IVX781653;OD;01/01/2008;09/08/2022;01/01/2013
IVX82;IVX821654;HD;28/08/2000;;28/08/2000
IVX289;IVX2891655;HD;23/10/2013;;23/10/2013
IVX288;IVX2881656;CC;13/12/2000;;13/12/2000
IVX81;IVX811657;HD;31/01/1990;;01/01/1996
IVX81;IVX811658;HD;31/01/1970;;01/01/1996
IVX81;IVX811659;HD;28/02/1970;;01/01/1996
IVX125;IVX1251660;OL;01/01/1973;;01/01/1996
IVX125;IVX1251661;GS;24/09/2004;;27/04/2010
IVX125;IVX1251662;OL;01/01/1968;;01/01/1996
IVX286;IVX2861663;CV;01/03/1969;01/01/2017;01/01/1996
IVX286;IVX2861664;CV;04/01/1962;01/01/2017;01/01/1996
IVX286;IVX2861665;CV;04/01/1962;01/01/2017;01/01/1996
IVX286;IVX2861666;CV;04/01/1962;01/01/2017;01/01/1996
IVX126;IVX1261667;CC;14/03/2015;;14/03/2015
IVX126;IVX1261668;GD;12/02/2003;;12/02/2003
IVX285;IVX2851669;OL;03/09/1968;05/03/2014;01/01/1996
IVX81;IVX811670;HD;31/03/1991;;01/01/1996
IVX285;IVX2851671;OL;17/09/1968;05/03/2014;01/01/1996
