id_unidadegeradora;uge_id;instal;maquina;id_tpcombustivel;dtini_oper;din_des;din_iniapur
623;SEBEJD0UG30;IVX295;IVX295678;OD;2002-08-08 00:00:00;2006-01-01;
624;PIEGCM0UG4 ;IVX244;IVX244679;OD;2008-01-01 00:00:00;2013-01-01;
625;PIEGMB0UG7 ;IVX245;IVX245680;OD;2008-01-01 00:00:00;2013-01-01;
626;PIEGNZ0UG8 ;IVX78;IVX78681;OD;2008-05-26 00:00:00;2013-01-01;
627;PIEGNZ0UG2 ;IVX78;IVX78682;OD;2008-05-26 00:00:00;2013-01-01;
628;SEBGLG0UG1 ;IVX86;IVX86683;OD;2002-06-29 00:00:00;2005-01-01;
629;BANGCD0UG3 ;IVX74;IVX74684;DO;2002-10-29 00:00:00;2005-01-01;
630;CECGCL0UG1 ;IVX161;IVX161685;OD;2002-04-21 00:00:00;2004-07-09;
631;SPPIRP0UG2 ;IVX307;IVX307686;MS;2002-08-06 00:00:00;2003-05-16;
632;ESBECA0UG15;IVX174;IVX174687;OD;2002-05-14 00:00:00;2006-01-01;2005-12-01 00:00:00
633;RNTMCB0UG23;IVX262;IVX262688;OD;2002-07-21 00:00:00;2006-01-01;
634;ALBERL0G105;IVX127;IVX127689;OD;2002-08-05 00:00:00;2006-01-01;
635;ALBERL0UG69;IVX127;IVX127690;OD;2002-08-05 00:00:00;2006-01-01;
636;ALBERL0UG28;IVX127;IVX127691;OD;2002-08-05 00:00:00;2006-01-01;
637;PEGCRF0UG2 ;IVX239;IVX239692;OD;2002-03-15 00:00:00;2006-01-01;
638;PIEGAT0UG6 ;IVX343;IVX343693;OD;2008-05-26 00:00:00;2013-01-01;
639;ESBECA0UG7 ;IVX174;IVX174694;OD;2002-05-14 00:00:00;2006-01-01;2005-01-01 00:00:00
640;ESBEPB0UG13;IVX147;IVX147695;OD;2002-06-21 00:00:00;2006-01-01;
641;ESBEPB0UG25;IVX147;IVX147696;OD;2002-06-21 00:00:00;2006-01-01;
642;ESVIA-0UG23;IVX358;IVX358697;GS;2022-07-14 00:00:00;;2022-07-14 00:00:00
643;ESVIA-0UG22;IVX358;IVX358698;GS;2022-07-14 00:00:00;;2022-07-14 00:00:00
644;ESVIA-0UG21;IVX358;IVX358699;GS;2022-07-14 00:00:00;;2022-07-14 00:00:00
645;SPUTPV0G400;IVX357;IVX357700;GS;2022-06-30 00:00:00;2022-06-30;
646;SPUTPV0G200;IVX357;IVX357701;GS;2022-06-29 00:00:00;2022-06-29;
647;SPUTPV0G300;IVX357;IVX357702;GS;2022-06-24 00:00:00;2022-06-24;
648;SPUTPV0G100;IVX357;IVX357703;GS;2022-06-23 00:00:00;2022-06-23;
649;SPUTPV01300;IVX357;IVX357704;GS;2022-06-16 00:00:00;2022-06-16;
650;SPUTPV01200;IVX357;IVX357705;GS;2022-06-16 00:00:00;2022-06-16;
651;SPUTPV01100;IVX357;IVX357706;GS;2022-06-16 00:00:00;2022-06-16;
652;SPUTPV01000;IVX357;IVX357707;GS;2022-06-16 00:00:00;2022-06-16;
653;SPUTPV0G900;IVX357;IVX357708;GS;2022-06-16 00:00:00;2022-06-16;
654;SPUTPV0G800;IVX357;IVX357709;GS;2022-06-22 00:00:00;2022-06-22;
655;ESVIA-0UG24;IVX358;IVX358710;GS;2022-07-14 00:00:00;;2022-07-14 00:00:00
656;SPUTPV01400;IVX357;IVX357711;GS;2022-06-16 00:00:00;2022-06-16;
657;SPUTPV0G600;IVX357;IVX357712;GS;2022-06-18 00:00:00;2022-06-18;
658;SPUTPV0G500;IVX357;IVX357713;GS;2022-06-16 00:00:00;2022-06-16;
659;RJKR190ST1 ;IVX356;IVX356714;GS;2022-09-30 00:00:00;;2022-09-30 00:00:00
660;RJKR190UG6 ;IVX356;IVX356715;GS;2022-09-30 00:00:00;;2022-09-30 00:00:00
661;RJKR190UG5 ;IVX356;IVX356716;GS;2022-09-30 00:00:00;;2022-09-30 00:00:00
662;RJKR190UG4 ;IVX356;IVX356717;GS;2022-09-30 00:00:00;;2022-09-30 00:00:00
663;RJKR190UG3 ;IVX356;IVX356718;GS;2022-09-30 00:00:00;;2022-09-30 00:00:00
664;RJKR190UG2 ;IVX356;IVX356719;GS;2022-09-30 00:00:00;;2022-09-30 00:00:00
665;RJKR190UG1 ;IVX356;IVX356720;GS;2022-09-30 00:00:00;;2022-09-30 00:00:00
666;RJPSD10UG6 ;IVX353;IVX353721;GS;2022-09-30 00:00:00;;2022-09-30 00:00:00
667;RJPSD10UG5 ;IVX353;IVX353722;GS;2022-09-30 00:00:00;;2022-09-30 00:00:00
668;RJPSD10UG4 ;IVX353;IVX353723;GS;2022-09-30 00:00:00;;2022-09-30 00:00:00
669;RJPSD10UG3 ;IVX353;IVX353724;GS;2022-09-30 00:00:00;;2022-09-30 00:00:00
670;SPUTPV0G700;IVX357;IVX357725;GS;2022-06-18 00:00:00;2022-06-18;
671;RJPSD10UG2 ;IVX353;IVX353726;GS;2022-09-30 00:00:00;;2022-09-30 00:00:00
672;ESPOV-0UG1 ;IVX359;IVX359727;GS;2022-07-23 00:00:00;2022-07-23;
673;ESPOV-0UG3 ;IVX359;IVX359728;GS;2022-07-27 00:00:00;2022-07-27;
674;ESLORM0UG5 ;IVX181;IVX181729;GS;2022-07-20 00:00:00;;2022-07-20 00:00:00
