tpins;usina;din_entrada;din_desativacao
HID;IVX337;1940-01-01 00:00:00.000;
HID;IVX338;1978-01-02 00:00:00.000;
HID;IVX339;1973-01-01 00:00:00.000;
HID;IVX340;2012-03-30 00:00:00.000;
HID;IVX341;2013-09-06 00:00:00.000;
HID;IVX342;1985-01-01 00:00:00.000;
TER;IVX343;2008-01-01 00:00:00.000;2022-08-09 00:00:00.000
TER;IVX344;2008-01-01 00:00:00.000;2022-08-09 00:00:00.000
TER;IVX345;2010-01-09 00:00:00.000;
TER;IVX346;2009-03-03 00:00:00.000;
TER;IVX347;2010-12-30 00:00:00.000;
TER;IVX348;2010-05-20 00:00:00.000;
TER;IVX349;2019-06-28 00:00:00.000;
TER;IVX350;2013-01-24 00:00:00.000;
TER;IVX351;2021-07-10 00:00:00.000;
TER;IVX352;2021-10-01 00:00:00.000;2022-04-01 00:00:00.000
TER;IVX353;2022-09-30 00:00:00.000;
TER;IVX354;2022-10-25 00:00:00.000;
TER;IVX355;2022-10-04 00:00:00.000;
TER;IVX356;2022-09-30 00:00:00.000;
TER;IVX357;2022-06-16 00:00:00.000;
TER;IVX358;2022-07-14 00:00:00.000;
TER;IVX359;2022-07-23 00:00:00.000;
TER;IVX360;2023-12-02 00:00:00.000;
TER;IVX361;2022-08-24 00:00:00.000;
TER;IVX362;;
TER;IVX363;2022-12-21 00:00:00.000;
TER;IVX364;;
TER;IVX365;;
TER;IVX366;;
TER;IVX367;;
TER;IVX369;2023-06-21 00:00:00.000;
TER;IVX370;2022-11-12 00:00:00.000;
TER;IVX395;2023-05-05 03:00:00.000;2023-05-06 03:00:00.000
TER;IVX396;2023-05-24 00:00:00.000;
TER;IVX397;2023-05-30 00:00:00.000;
EOL;IVX398;2024-04-02 00:00:00.000;
FOT;IVX399;;
HID;IVX400;;
EOL;IVX401;2024-01-09 00:00:00.000;
TER;IVX402;;
HID;IVX403;;1990-12-31 00:00:00.000
HIB;IVX404;2010-07-28 00:00:00.000;
FOT;IVX405;;
TER;IVX406;;
TER;IVX407;;
FOT;IVX408;;
